frame,Sx,Sy
0,0.0,0.0
1,0.2886751345948129,0.16121666666666662
2,0.5773502691896258,0.3115333333333333
3,0.8660254037844388,0.45094999999999996
4,1.1547005383792517,0.5794666666666666
5,1.4433756729740645,0.6970833333333332
6,1.7320508075688776,0.8037999999999998
7,2.0207259421636903,0.8996166666666665
8,2.3094010767585034,0.984533333333333
9,2.598076211353316,1.0585499999999999
10,2.886751345948129,1.1216666666666661
11,3.1754264805429417,1.173883333333333
12,3.4641016151377553,1.2151999999999996
13,3.752776749732568,1.2456166666666664
14,4.041451884327381,1.265133333333333
15,4.330127018922194,1.2737499999999995
16,4.618802153517007,1.2687599898063198
17,4.907477288111819,1.2524099898063197
18,5.196152422706632,1.2251599898063197
19,5.484827557301445,1.1870099898063198
20,5.773502691896258,1.1379599898063197
21,6.06217782649107,1.0780099898063198
22,6.3508529610858835,1.0071599898063197
23,6.6395280956806975,0.9254099898063195
24,6.9282032302755105,0.8327599898063196
25,7.216878364870323,0.7292099898063196
26,7.505553499465136,0.6147599898063195
27,7.794228634059949,0.48940998980631956
28,8.082903768654761,0.3531599898063196
29,8.371578903249574,0.20600998980631968
30,8.660254037844387,0.04795998980631966
