frame,x,y
0,1.0,0.0
1,0.9998611143261019,0.01666589507244506
2,0.9994444958828685,0.03332716083675362
3,0.9987502603949663,0.04997916927067833
4,0.9977786007011223,0.066617294923393
5,0.9965297867005595,0.08323691620031025
6,0.9950041652780258,0.09983341664682814
7,0.99320216020744,0.11640218623064896
8,0.9911242720341794,0.13293862262231407
9,0.9887710779360422,0.14943813247359922
10,0.986143231562925,0.16589613269341502
11,0.9832414628552565,0.1823080517208584
12,0.9800665778412416,0.1986693307950612
13,0.9766194584129698,0.21497542522148327
14,0.9729010620814507,0.23122180563429853
15,0.9689124217106448,0.2474039592545229
16,0.9646546452305639,0.26351739114353506
17,0.9601289153295195,0.27955762545164153
18,0.955336489125606,0.29552020666133955
19,0.9502786978175092,0.3114007008249323
20,0.9449569463147377,0.3271946967961522
21,0.9393727128473789,0.34289780745545134
22,0.9335275485554896,0.3585056709286172
23,0.9274230770582332,0.3740139517983766
24,0.9210609940028851,0.38941834230865047
25,0.9144430665938303,0.4047145635611247
26,0.9075711331016849,0.41989836670380576
27,0.9004471023526769,0.4349655341112302
28,0.8930729531984294,0.4499118805559996
29,0.8854507339662915,0.46473325437131746
30,0.8775825618903728,0.47942553860420295
31,0.8694706225234353,0.49398465215906245
32,0.8611171691298103,0.5084065509313012
33,0.8525245220595057,0.5226872289306592
34,0.8436950681036793,0.5368227193939614
35,0.8346312598316569,0.5508090958869699
36,0.8253356149096782,0.5646424733950355
37,0.8158107154015618,0.5783190094022432
38,0.8060592070514818,0.5918349049587531
39,0.7960837985490556,0.6051864057360399
40,0.7858872607769477,0.6183698030697373
41,0.775472426041198,0.6313814349897997
42,0.764842187284488,0.6442176872376915
43,0.7539994972825648,0.656874994270325
44,0.7429473678240437,0.6693498402504666
45,0.7316888688738205,0.6816387600233347
46,0.7202271277203227,0.6937383400791209
47,0.7085653281068387,0.7056452195011655
48,0.6967067093471648,0.7173560908995233
49,0.6846545654258169,0.7288677013296623
50,0.672412244083056,0.7401768531960377
51,0.6599831458849814,0.7512804051402934
